DT,latitude,longitude,R,NIR,Fmask,Sensor
2015155T231547,63.0398979,179.1493163,0.06770000000000001,0.2232,192,LC08
2015155T231547,63.1908564,179.0553359,0.127,0.19720000000000001,192,LC08
2015169T232817,63.1745585,179.132383,0.0262,0.2056,128,LC08
2015169T232817,63.2462262,179.0952475,0.0872,0.2456,64,LC08
2015169T232817,63.1778561,179.1682067,0.17880000000000001,0.2753,128,LC08
2015169T232817,63.2367396,179.0491019,0.0526,0.2255,64,LC08
2015169T232817,63.1908564,179.0553359,0.065,0.1696,64,LC08
2015169T232817,63.1643479,178.994274,0.1043,0.23770000000000002,128,LC08
2015169T232817,63.1367844,179.041577,0.36060000000000003,0.3602,64,LC08
2015171T231556,63.0398979,179.1493163,0.0737,0.2371,64,LC08
2015171T231556,63.1745585,179.132383,0.035,0.2041,64,LC08
2015171T231556,63.2462262,179.0952475,0.084,0.2654,64,LC08
2015171T231556,63.1778561,179.1682067,0.1257,0.2619,64,LC08
2015171T231556,63.2367396,179.0491019,0.066,0.2649,64,LC08
2015171T231556,63.1908564,179.0553359,0.0649,0.1844,64,LC08
2015171T231556,63.1643479,178.994274,0.0346,0.2361,192,LC08
2015171T231556,63.1367844,179.041577,0.3245,0.28450000000000003,64,LC08
2015178T232209,63.1745585,179.132383,0.0534,0.2692,128,LC08
2015178T232209,63.2462262,179.0952475,0.058100000000000006,0.3406,64,LC08
2015178T232209,63.1778561,179.1682067,0.040100000000000004,0.3321,128,LC08
2015178T232209,63.3337091,178.9979193,0.0887,0.19310000000000002,64,LC08
2015178T232209,63.2367396,179.0491019,0.054700000000000006,0.37310000000000004,128,LC08
2015178T232209,63.1908564,179.0553359,0.0751,0.2748,128,LC08
2015178T232209,63.1643479,178.994274,0.041,0.3699,128,LC08
2015185T232825,63.1745585,179.132383,0.043000000000000003,0.3306,64,LC08
2015185T232825,63.2462262,179.0952475,0.046700000000000005,0.37320000000000003,64,LC08
2015185T232825,63.1778561,179.1682067,0.0316,0.3541,64,LC08
2015185T232825,63.2367396,179.0491019,0.038900000000000004,0.3791,64,LC08
2015185T232825,63.1908564,179.0553359,0.0477,0.2499,64,LC08
2015185T232825,63.1643479,178.994274,0.0235,0.39,192,LC08
2015194T232220,63.0398979,179.1493163,0.0589,0.2901,64,LC08
2015194T232220,63.1745585,179.132383,0.049100000000000005,0.35000000000000003,64,LC08
2015194T232220,63.1778561,179.1682067,0.033,0.36310000000000003,64,LC08
2015194T232220,63.1908564,179.0553359,0.048600000000000004,0.2549,64,LC08
2015194T232220,63.1643479,178.994274,0.0386,0.3995,64,LC08
2015194T232220,63.1367844,179.041577,0.0516,0.2303,64,LC08
2015217T232836,63.0398979,179.1493163,0.0649,0.26630000000000004,64,LC08
2015217T232836,63.1745585,179.132383,0.0466,0.3539,128,LC08
2015217T232836,63.1643479,178.994274,0.042,0.3371,64,LC08
2015219T231615,63.2462262,179.0952475,0.043000000000000003,0.3856,64,LC08
2015219T231615,63.3337091,178.9979193,0.060000000000000005,0.2657,64,LC08
2015219T231615,63.2367396,179.0491019,0.0376,0.3682,64,LC08
2015219T231615,63.1908564,179.0553359,0.0439,0.2788,64,LC08
2015242T232236,63.0398979,179.1493163,0.0649,0.28300000000000003,64,LC08
2015242T232236,63.1745585,179.132383,0.052700000000000004,0.34500000000000003,64,LC08
2015242T232236,63.2462262,179.0952475,0.0567,0.36010000000000003,64,LC08
2015242T232236,63.1778561,179.1682067,0.033800000000000004,0.3286,64,LC08
2015242T232236,63.3337091,178.9979193,0.058,0.2429,64,LC08
2015242T232236,63.2367396,179.0491019,0.052500000000000005,0.3312,64,LC08
2015242T232236,63.1908564,179.0553359,0.0536,0.2605,64,LC08
2015242T232236,63.1643479,178.994274,0.0502,0.3805,64,LC08
2015242T232236,63.1367844,179.041577,0.0609,0.2503,64,LC08
2015251T231629,63.0398979,179.1493163,0.0834,0.2721,64,LC08
2015251T231629,63.1745585,179.132383,0.0761,0.3435,64,LC08
2015251T231629,63.2462262,179.0952475,0.0834,0.3401,64,LC08
2015251T231629,63.1778561,179.1682067,0.0356,0.281,64,LC08
2015251T231629,63.3337091,178.9979193,0.0623,0.23270000000000002,64,LC08
2015251T231629,63.2367396,179.0491019,0.0756,0.2904,64,LC08
2015251T231629,63.1908564,179.0553359,0.0689,0.23320000000000002,64,LC08
2015251T231629,63.1643479,178.994274,0.061700000000000005,0.36010000000000003,64,LC08
2015251T231629,63.1367844,179.041577,0.07490000000000001,0.21730000000000002,64,LC08
2016156T232839,63.0398979,179.1493163,0.07830000000000001,0.2364,192,LC08
2016156T232839,63.1643479,178.994274,0.5336000000000001,0.5111,192,LC08
2016158T231618,63.0398979,179.1493163,0.07830000000000001,0.24550000000000002,192,LC08
2016158T231618,63.2367396,179.0491019,0.0786,0.2141,192,LC08
2016158T231618,63.1908564,179.0553359,0.0779,0.19140000000000001,192,LC08
2016158T231618,63.1643479,178.994274,0.26530000000000004,0.3506,192,LC08
2016165T232229,63.0398979,179.1493163,0.0782,0.2607,192,LC08
